ID,probability
48786,0.9928751817708379
53074,0.0020606196547556612
11758,0.7556917287809048
49289,0.9999983696625138
56787,0.9952353029635357
27135,9.16700639040309e-05
1222,5.407710801233781e-05
45631,0.0018861655144373735
29686,0.001528485095471034
71663,0.9999984851581915
68721,0.9999979876319798
37270,0.996650029037737
42999,0.9999979581409512
48467,0.9999968607970925
4262,0.9976353220699812
37193,0.00590907303129807
71073,0.9999922999921507
56558,0.8005907200679997
45027,0.008805664417318065
50873,0.7050565694242298
28769,0.9854874928138342
2073,1.7758687736900054e-05
23909,0.9861507541566941
28823,0.23787103660461162
67790,0.9979082275688679
49280,0.00251563561440736
16050,0.004299991430502717
60387,0.9999911154045561
56952,0.9999989266915137
57836,0.2670812266166127
22336,0.9999808909089367
50057,5.7151098134396546e-05
24013,0.003192971262094819
62761,0.9999989627387965
33105,0.01701536910894547
71187,0.0034296117804459626
64875,0.9999845692966375
38818,0.9999909827589517
23810,0.002860659808291464
13104,0.9983639447351569
6189,0.001552655325775039
45980,0.00011272777087455307
354,0.9933915140709917
17029,0.7609747849801063
25414,0.9981671802967895
26109,0.7215862185275774
23970,1.3598593524418779e-05
54650,0.9917180687750661
65217,0.8536468825327652
72792,0.029840717344363492
41345,0.9999898627044481
52812,0.8156698152761687
4258,0.002522719463902509
14040,0.9999978749303395
4515,0.004936158555976611
38851,0.8154026997563122
41855,0.9999947507026947
5193,4.810164226303476e-05
18821,4.874542443520737e-05
14537,0.9999231815916024
48016,0.9999868858121523
59936,8.47143901016464e-06
4354,0.7949426150657576
65690,0.9981491050458178
43097,0.4667475926036316
31901,0.9999976399175239
18398,0.8771269835578234
68056,5.72499756417323e-05
15085,0.999997879781755
8706,0.9967963172441192
58770,0.4112488358753725
31822,1.8686424976955018e-05
7764,0.11538090289619259
18924,9.749997258617645e-07
39433,0.6112116185329963
72345,4.095116671294724e-05
55266,0.8565612353579778
69248,0.15555499306724
70011,0.33059378222354807
11196,0.002235505869877668
60355,0.995262959878238
49727,0.911088433392191
63190,0.7423648768252951
42268,0.003163474841878038
43540,0.00393534336748143
21222,0.009348826556724832
60269,0.9999840314813174
28319,0.9976841201498734
45100,0.9999987865150424
63037,0.0020519705440713515
49710,0.003154909852750309
56489,0.9978376805970302
49983,0.9999944975511945
57826,0.33785149992765656
71061,0.004207273861610531
63914,0.9999543966415604
7059,0.7950115140251061
16666,0.004567662703469837
3562,0.9999854163076345
52418,0.2743176167609578
